course_id,semester,name,roomcode,buildingname,start,end
0020,19W,Text Analysis for Marketing,D2.0.392,D2,2019-10-31T17:00:00,2019-10-31T20:00:00
0020,19W,Text Analysis for Marketing,D2.0.392,D2,2019-11-07T17:00:00,2019-11-07T20:00:00
0020,19W,Text Analysis for Marketing,D2.0.392,D2,2019-11-14T17:00:00,2019-11-14T20:00:00
0020,19W,Text Analysis for Marketing,D2.0.392,D2,2019-11-21T17:00:00,2019-11-21T20:00:00
0020,19W,Text Analysis for Marketing,D2.0.392,D2,2019-12-05T17:00:00,2019-12-05T20:00:00
0020,19W,Text Analysis for Marketing,D2.0.392,D2,2019-12-19T17:00:00,2019-12-19T19:30:00
0021,19W,Angewandte Konsumentenforschung,TC.3.05,TC,2019-10-16T15:30:00,2019-10-16T17:30:00
0021,19W,Angewandte Konsumentenforschung,TC.5.15,TC,2019-10-30T15:30:00,2019-10-30T17:30:00
0021,19W,Angewandte Konsumentenforschung,D5.0.002,D5,2019-11-20T15:30:00,2019-11-20T17:30:00
0021,19W,Angewandte Konsumentenforschung,TC.3.05,TC,2019-11-27T15:30:00,2019-11-27T17:30:00
0021,19W,Angewandte Konsumentenforschung,D3.0.233,D3,2019-12-11T15:30:00,2019-12-11T17:30:00
0021,19W,Angewandte Konsumentenforschung,TC.3.21,TC,2019-12-18T15:30:00,2019-12-18T17:30:00
0021,19W,Angewandte Konsumentenforschung,TC.3.05,TC,2020-01-08T15:30:00,2020-01-08T17:30:00
0021,19W,Angewandte Konsumentenforschung,TC.2.03,TC,2020-01-29T14:00:00,2020-01-29T18:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.1.02,TC,2019-10-14T08:30:00,2019-10-14T09:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.28,TC,2019-10-14T09:00:00,2019-10-14T14:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.22,TC,2019-10-14T09:00:00,2019-10-14T14:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.09,TC,2019-10-14T09:00:00,2019-10-14T14:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.05,TC,2019-10-14T09:00:00,2019-10-14T14:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.16,TC,2019-10-19T09:00:00,2019-10-19T14:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.22,TC,2019-10-19T09:00:00,2019-10-19T14:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.09,TC,2019-10-19T09:00:00,2019-10-19T14:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.5.05,TC,2019-10-19T09:00:00,2019-10-19T14:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,D5.0.1001 Freifläche Gang,D5,2019-10-19T11:00:00,2019-10-19T12:30:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.4.05,TC,2019-10-25T12:00:00,2019-10-25T18:00:00
0022,19W,Problemlösen und Zusammenarbeit in Gruppen,TC.4.13,TC,2019-10-25T12:00:00,2019-10-25T18:00:00
